testCaseId,db_connection_details,query_details,where_clause_columns,where_clause_values,expected_value,polling_timeout,external_view_service_name
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_1440_kpis;lte_prb_utilization,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=V0032374E008089,ManagedElement=V0032374E008089,ENodeBFunction=1,EUtranCellFDD=N08089010'";'2020-07-06 00:00:00',25.694736842105264,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_1440_kpis;lte_accessibility,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=V0032374E008089,ManagedElement=V0032374E008089,ENodeBFunction=1,EUtranCellFDD=N08089010'";'2020-07-06 00:00:00',99.43893410972638,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_1440_kpis;cgi,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=V0032374E008089,ManagedElement=V0032374E008089,ENodeBFunction=1,EUtranCellFDD=N08089010'";'2020-07-06 00:00:00',234-15-12017-10,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_1440_kpis;name,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=V0032374E008089,ManagedElement=V0032374E008089,ENodeBFunction=1,EUtranCellFDD=N08089010'";'2020-07-06 00:00:00',N08089010,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_1440_kpis;nr_accessibility,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,ENodeBFunction=1,EUtranCellFDD=N01692010'";'2020-07-06 00:00:00',200.9693886092946,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_5g_1440_kpis;dl_prb_utilization,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,GNBCUCPFunction=1,NRCellCU=KG01692430'";'2020-07-06 00:00:00',2.3984320936517296,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_5g_1440_kpis;pdsch_slot_utilization,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,GNBCUCPFunction=1,NRCellCU=KG01692430'";'2020-07-06 00:00:00',0.3451939784404553,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_5g_1440_kpis;en_dc_setup_sr_gnode_b,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,GNBCUCPFunction=1,NRCellCU=KG01692430'";'2020-07-06 00:00:00',90.75,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_5g_1440_kpis;nci,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,GNBCUCPFunction=1,NRCellCU=KG01692430'";'2020-07-06 00:00:00',46006702,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_5g_1440_kpis;nr_name,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,GNBCUCPFunction=1,NRCellCU=KG01692430'";'2020-07-06 00:00:00',KG01692430,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_60_kpis;lte_prb_utilization_hr,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=V0032374E008089,ManagedElement=V0032374E008089,ENodeBFunction=1,EUtranCellFDD=N08089010'";'2020-07-06 00:00:00',9.5,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_60_kpis;lte_accessibility_hr,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=V0032374E008089,ManagedElement=V0032374E008089,ENodeBFunction=1,EUtranCellFDD=N08089010'";'2020-07-06 00:00:00',100,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_60_kpis;cgi_hr,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=V0032374E008089,ManagedElement=V0032374E008089,ENodeBFunction=1,EUtranCellFDD=N08089010'";'2020-07-06 00:00:00',234-15-12017-10,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_60_kpis;name_hr,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=V0032374E008089,ManagedElement=V0032374E008089,ENodeBFunction=1,EUtranCellFDD=N08089010'";'2020-07-06 00:00:00',N08089010,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_4g_60_kpis;nr_accessibility_hr,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,ENodeBFunction=1,EUtranCellFDD=N01692010'";'2020-07-06 00:00:00',420.8294697965586,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_5g_60_kpis;dl_prb_utilization_hr,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,GNBCUCPFunction=1,NRCellCU=KG01692430'";'2020-07-06 00:00:00',1.3822128966497491,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_5g_60_kpis;pdsch_slot_utilization_hr,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,GNBCUCPFunction=1,NRCellCU=KG01692430'";'2020-07-06 00:00:00',0.00013888881172843793,1,eric-tcp-traffic-forward-kpi
IDUN-10534_VerifyAas,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_5g_60_kpis;en_dc_setup_sr_gnode_b_hr,fdn;local_timestamp,"'SubNetwork=ENM_RAN,SubNetwork=4G-PO,MeContext=SRAN01692A,ManagedElement=SRAN01692A,GNBCUCPFunction=1,NRCellCU=KG01692430'";'2020-07-06 00:00:00',100,1,eric-tcp-traffic-forward-kpi
