testCaseId,db_connection_details,query_details,where_clause_columns,where_clause_values,expected_value,polling_timeout,external_view_service_name
SONP-37761_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;Contiguity,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146346_CROWN_BCO_BRA099,ManagedElement=146346_CROWN_BCO_BRA099,ENodeBFunction=1,EUtranCellFDD=146346_2_4'";'2020-07-06 00:00:00',97.34513274336283,1,eric-tcp-traffic-forward-kpi
SONP-37761_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_1440_kpis;Contiguity,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_146,MeContext=146346_CROWN_BCO_BRA099,ManagedElement=146346_CROWN_BCO_BRA099,ENodeBFunction=1,EUtranCellFDD=146346_3'";'2020-07-06 00:00:00',100,1,eric-tcp-traffic-forward-kpi
SONP-36535_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_sector_1440_kpis;coverage_balance_ratio_distance,cell_fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1'";'2020-07-06 00:00:00',37.02435312024353,1,eric-tcp-traffic-forward-kpi
SONP-36535_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_sector_1440_kpis;coverage_balance_ratio_distance,cell_fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_1_4'";'2020-07-06 00:00:00',100,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;ue_percentage_q1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144004_FPC_ALDERMAN_SUBSTATION,ManagedElement=144004_FPC_ALDERMAN_SUBSTATION,ENodeBFunction=1,EUtranCellFDD=144004_2_7'";'2020-07-06 12:00:00',7.894736842105263,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;ue_percentage_q4,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144021_JERRYS,ManagedElement=144021_JERRYS,ENodeBFunction=1,EUtranCellFDD=144021_1_4'";'2020-07-06 12:00:00',0.43103448275862066,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;ue_percentage_q2,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144002_FPC_PC_SE_12_ELFERS,ManagedElement=144002_FPC_PC_SE_12_ELFERS,ENodeBFunction=1,EUtranCellFDD=144002_2'";'2020-07-06 12:00:00',14.583333333333334,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;ue_percentage_q3,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144007_PINNACLE_PALM_HARBOR,ManagedElement=144007_PINNACLE_PALM_HARBOR,ENodeBFunction=1,EUtranCellFDD=144007_1_4'";'2020-07-06 12:00:00',4.987531172069826,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;distance_q1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144015_LIONS_CLUB,ManagedElement=144015_LIONS_CLUB,ENodeBFunction=1,EUtranCellFDD=144015_2_8'";'2020-07-06 12:00:00',63.120000000000005,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;distance_q2,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=444513_AMALIE_ARENA,ManagedElement=444513_AMALIE_ARENA,ENodeBFunction=1,EUtranCellFDD=444513_1_2'";'2020-07-06 12:00:00',71.6,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;distance_q3,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144006_SBAWATER_PLANTNDC,ManagedElement=144006_SBAWATER_PLANTNDC,ENodeBFunction=1,EUtranCellFDD=144006_3'";'2020-07-06 12:00:00',412.67999999999984,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;distance_q4,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144033_FPC_MAXIMO_SUB,ManagedElement=144033_FPC_MAXIMO_SUB,ENodeBFunction=1,EUtranCellFDD=144033_2'";'2020-07-06 12:00:00',4216.32,1,eric-tcp-traffic-forward-kpi
SONP-38899_VerifyCommon,kpi_service_db;kpi_exporter;5432;eric-pm-kpi-calculator-exporter-secret,cell_guid_60_kpis;num_ue_samples_q1,fdn;local_timestamp,"'SubNetwork=ONRM_ROOT_MO,SubNetwork=MKT_144,MeContext=144004_FPC_ALDERMAN_SUBSTATION,ManagedElement=144004_FPC_ALDERMAN_SUBSTATION,ENodeBFunction=1,EUtranCellFDD=144004_2_7'";'2020-07-06 12:00:00',3,1,eric-tcp-traffic-forward-kpi
